序号	事件名	事件分类	功能说明	JSON 模板	字段说明
1	meta_event.lifecycle	meta_event	生命周期事件	{"time": 1718000000, "self_id": 123456789, "post_type": "meta_event", "meta_event_type": "lifecycle", "sub_type": "connect"}	time=时间戳, self_id=机器人QQ号, post_type=meta_event, meta_event_type=lifecycle, sub_type=connect/enable/disable
2	meta_event.heartbeat	meta_event	心跳事件	{"time": 1718000000, "self_id": 123456789, "post_type": "meta_event", "meta_event_type": "heartbeat", "status": {"online": true, "good": true}, "interval": 30000}	time=时间戳, self_id=机器人QQ号, post_type=meta_event, meta_event_type=heartbeat, status=状态对象, interval=心跳间隔(ms)
3	message.private.friend	message	好友私聊消息	{"time": 1718000000, "self_id": 123456789, "post_type": "message", "message_type": "private", "sub_type": "friend", "message_id": 1001, "user_id": 234567890, "message": [{"type": "text", "data": {"text": "你好"}}], "raw_message": "你好", "font": 0, "sender": {"user_id": 234567890, "nickname": "小明", "sex": "male"}}	message_id=消息ID, user_id=发送者QQ, message=消息段数组, raw_message=原始消息, font=字体, sender=发送者信息(user_id/nickname/sex)
4	message.private.group	message	群临时会话私聊消息	{"time": 1718000002, "self_id": 123456789, "post_type": "message", "message_type": "private", "sub_type": "group", "message_id": 1002, "user_id": 234567891, "message": [{"type": "text", "data": {"text": "临时会话消息"}}], "raw_message": "临时会话消息", "font": 0, "sender": {"user_id": 234567891, "nickname": "小红", "sex": "female"}, "temp_source": 0}	sub_type=group表示群临时会话, temp_source=临时会话来源, 其余同好友私聊
5	message.group.normal	message	普通群聊消息	{"time": 1718000001, "self_id": 123456789, "post_type": "message", "message_type": "group", "sub_type": "normal", "message_id": 2001, "group_id": 987654321, "user_id": 345678901, "message": [{"type": "at", "data": {"qq": "123456789"}}, {"type": "text", "data": {"text": "大家好！"}}], "raw_message": "[CQ:at,qq=123456789]大家好！", "font": 0, "sender": {"user_id": 345678901, "nickname": "群友A", "sex": "female", "card": "管理员", "role": "admin"}}	group_id=群号, sender额外含card=群名片, role=owner/admin/member, message段支持text/image/at/face/reply等
6	message_sent.private	message_sent	bot发送的私聊消息（扩展）	{"time": 1718000000, "self_id": 123456789, "post_type": "message_sent", "message_type": "private", "sub_type": "friend", "message_id": 1001, "user_id": 234567890, "message": [{"type": "text", "data": {"text": "自动回复"}}], "raw_message": "自动回复", "font": 0, "sender": {"user_id": 123456789, "nickname": "Bot", "sex": "unknown"}}	post_type=message_sent表示bot自身发送的消息, 结构与message事件一致, sender为bot自身信息
7	message_sent.group	message_sent	bot发送的群聊消息（扩展）	{"time": 1718000001, "self_id": 123456789, "post_type": "message_sent", "message_type": "group", "sub_type": "normal", "message_id": 2001, "group_id": 987654321, "user_id": 123456789, "message": [{"type": "text", "data": {"text": "公告内容"}}], "raw_message": "公告内容", "font": 0, "sender": {"user_id": 123456789, "nickname": "Bot", "card": "", "role": "admin"}}	post_type=message_sent, 其余结构与群消息一致
8	request.friend	request	加好友请求	{"time": 1718000020, "self_id": 123456789, "post_type": "request", "request_type": "friend", "user_id": 456789012, "comment": "我是机器人粉丝", "flag": "request_flag_1"}	request_type=friend, user_id=请求者QQ, comment=验证信息, flag=请求标识(用于set_friend_add_request处理)
9	request.group.add	request	加群请求	{"time": 1718000021, "self_id": 123456789, "post_type": "request", "request_type": "group", "sub_type": "add", "group_id": 987654321, "user_id": 456789013, "comment": "想加入群聊", "flag": "request_flag_2"}	request_type=group, sub_type=add表示加群申请, group_id=群号, flag=请求标识(用于set_group_add_request处理)
10	request.group.invite	request	邀请入群请求	{"time": 1718000022, "self_id": 123456789, "post_type": "request", "request_type": "group", "sub_type": "invite", "group_id": 987654321, "user_id": 456789014, "comment": "", "flag": "request_flag_3"}	sub_type=invite表示被邀请入群, 其余同加群请求
